Sourceid,Targetid,Weights
0,1,281.86
0,2,99.584
0,3,308.134
0,4,712535.4102280001
0,5,1601.177
0,6,419495.6731579994
0,7,320.45
0,8,5913.005472999886
0,9,439.675
0,10,16047.941640000012
0,11,49963.10178799998
0,12,65.444
0,13,253500.27547900024
0,14,321.465
0,15,1292.345
0,16,1212.539
0,17,118.727
0,18,268.521
0,19,273.087
0,20,62.224
0,21,71.68
0,22,213.433
0,23,92.355
0,24,177.371
0,25,65156.85166999996
0,26,414.355
0,27,575.0509999999997
0,28,44.855
0,29,100.447
0,30,156.048
0,31,636.935
0,32,324.8299999999999
0,33,340.919
0,34,220.777
0,35,137.719
0,36,63.283
0,37,49.511
0,38,125.188
0,39,26463.98266
0,40,1361.233
0,41,36.49200000000002
0,42,53.867
0,43,41.56100000000001
0,44,102.234
0,45,27.913
0,46,347.664
0,47,3104.534000000001
0,48,178.24400000000003
0,49,1543.034
0,50,246.522
0,51,57.08
0,52,114.255
0,53,73.21
0,54,3613.849
0,55,268.011
0,56,249.997
0,58,2718.699
0,59,781.548
0,60,593.903
0,61,195.911
0,62,88.88
0,63,4237.356
0,64,1065.128
0,66,9428.091650000002
0,67,420.357
0,68,5963.137034999852
0,69,280.99999999999994
0,70,235.441
0,71,29.482
0,72,4492.462923000108
0,73,49436.00304999999
0,74,2859.9080000000004
0,75,291.509
0,76,203.797
0,77,75.126
0,78,136.414
0,79,58.412
0,80,36.431
0,81,670.7959999999998
0,82,447.9839999999998
0,83,124.702
0,84,12285.578701000028
0,85,110.09
0,86,467.1260000000111
0,87,81.612
0,88,398.778
0,89,497.1140000000015
0,90,217.105
0,92,4269.169910000001
0,93,447.9839999999998
0,95,387.4680000000001
0,97,1555.588
0,98,773.7219999999996
0,99,85.56
0,100,25.436
0,101,168.945
0,102,124.985
0,104,257.697
0,105,113.693
0,108,381.4581879999533
0,109,1333.52
0,110,44.331
0,111,57.782
0,112,51.61399999999978
0,113,550.981
0,114,43.824
0,116,145.157
0,117,816.286
0,119,202.49899999999968
0,120,15967.827646
0,121,23159.132
0,122,196.485
0,123,262.4500000000012
0,125,125.69
0,126,645.1120000000002
0,127,143.691
0,129,284.356
0,130,64.452
0,131,55.645
0,133,97.478
0,135,243.812
0,137,28.576
0,139,13919.007000000003
0,140,108.465
0,142,195.624
0,144,229.602
0,152,21.603
0,153,426.0690000000001
0,154,168.707
0,155,45.208
0,158,86.038
0,159,125.006
0,163,196.225
0,169,8686.101000000013
0,170,259.292
0,173,21274.170109999995
0,176,83.528
0,178,7220.306
0,179,14.875
0,188,238.857
0,189,35.64100000000001
0,192,7552.465
0,202,139.652
0,205,100.775
0,213,92.281
0,215,106.074
0,223,364.3992809997926
0,229,103.539
0,232,960.294
0,233,10752.582
0,235,41.376
0,236,299.35
0,239,4835.386
0,249,15.817999999999998
0,250,138.898
0,256,689.085
0,257,44.084
0,276,228.48
0,277,212.021
0,293,6049.539000000001
0,294,4386.035
0,296,7790.143937000001
0,301,5352.385
0,303,81.692
0,310,214.359
0,313,110.669
0,380,3531.108
0,387,269.69199999999955
0,390,278.875
0,400,2135.311
0,401,1986.719
0,410,66.534
0,433,108.016
0,473,305.297
0,477,316.005
0,501,23.537
0,502,1887.243
0,546,965.676
0,563,1571.07
0,580,1179.311
0,599,1037.183
0,602,991.904
0,614,157.678
0,657,1348.558
0,673,53.422
0,680,1233.247
0,706,814.246
0,745,907.451
0,756,805.938
0,803,250.06299999999976
0,806,412.25
0,839,668.965
0,857,510.788
0,887,604.896
0,898,558.1
0,916,2.001
0,945,764.156
0,976,287.838
0,977,785.358
0,995,41.447
0,1003,598.949
0,1026,585.325
0,1030,337.996
0,1032,565.691
0,1054,858.131
0,1067,579.405
0,1087,432.681
0,1091,370.52
0,1114,507.378
0,1127,346.014
0,1146,359.162
0,1189,5.061
0,1191,383.718
0,1210,440.967
0,1218,368.427
0,1304,546.077
0,1307,1977.701
0,1338,347.835
0,1351,290.241
0,1355,235.648
0,1381,63.935
0,1393,286.209
0,1404,333.736
0,1424,308.323
0,1426,614.232
0,1430,304.223
0,1442,341.003
0,1489,317.835
0,1492,141.668
0,1496,321.727
0,1497,326.419
0,1578,313.796
0,1603,179.799
0,1714,41.886
0,1724,273.672
0,1741,279.271
0,1752,171.975
0,1779,236.995
0,1802,287.261
0,1806,209.288
