index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_pre
0,2015718000,1817839000,197879000,995459000,1532137000,90858000,4197000,284783000,152442000,8.528841,294023000,5.278227,1.405862,106.235283,36.905758,0.064709,-0.334548,170985000,178517000,1,755195000,17.523054,42.910738,232975000,1590466000,6.866064,13.253,1131000,171229000,82293000,10617000,2416000,396000,0.267299,0.122865,13.8171,2.60473,428000,5904000,3.392818,1483000,27.762478,2478000,786490000,15.31574,2.788736,743916000,51000,79.203491,17636000,1.81947,51.762747,1.494168,47932000,64.096151,285569000,56.825501,182243,2.803641,48.554144,4196000,6318000,846550000,10.936928,10.24171,2.811964,27.750983,68508000,52.033698,2.730287,1
1,1653947000,1445797000,208150000,520240000,1363841000,25119000,3712000,47474000,50420000,7.248885,112025000,0.893183,1.131559,118.993457,52.369876,0.121096,-0.906558,149537000,154912000,1,877992000,7.97854,61.17387,286181000,1404638000,6.059082,13.7339,485000,149537000,18849000,9935000,-306000,229000,0.136706,0.071902,14.2276,2.872212,161000,4739000,3.85771,407000,31.98974,857000,963735000,19.117149,0.632606,866170000,222000,90.944669,14967000,2.326454,37.378344,1.174332,97978000,65.83119,137429000,68.757768,150839,2.951173,63.509603,3712000,8442000,538468000,14.459611,12.96414,0.608238,24.754956,64922000,40.14375,2.951758,2
2,1342643000,1194543000,148100000,584455000,1009545000,61863000,2879000,136395000,64476000,7.850328,172364000,3.296043,1.150553,162.967395,42.469666,0.267707,-2.842674,129445000,140163000,1,581112000,15.942388,50.949946,297074000,1183659000,5.861673,14.0074,1681000,128899000,51363000,6686000,-13491000,991000,0.603471,0.448019,15.2315,3.916002,191000,3864000,6.065499,958000,31.224636,1009000,279685000,16.093985,0.476466,570216000,-55000,83.154884,11520000,2.980271,45.884349,1.170111,31608000,68.537918,66707000,64.636658,165674,3.815826,56.482475,2837000,8791000,613443000,12.507992,11.812522,0.475133,27.814021,51539000,24.584387,3.803368,1
3,1667785000,1513099000,154686000,555658000,1334370000,122596000,4735000,39389000,56332000,12.395085,201537000,3.551826,1.485182,78.108269,53.662433,0.089991,1.90321,127360000,140094000,1,905478000,13.802297,60.96196,249190000,1328447000,5.831889,11.2839,832000,127360000,107816000,13448000,3626000,344000,0.228403,0.110981,12.4121,3.627452,298000,3756000,4.154662,200000,31.634421,374000,927388000,13.704917,3.543968,894974000,173000,85.978277,16940000,2.695002,38.074812,1.616111,79348000,67.675979,249452000,72.124987,232412,3.537425,67.070902,4742000,9245000,433473000,10.32397,10.161142,3.519757,18.935299,102094000,38.391164,3.497978,2
4,833511338.2,782606510.2,50904827.99,313991467.7,581129243.6,91034798.36,1578835.179,106306814.9,52661219.98,12.821733,222260646.6,6.266995,0.646667,98.078442,49.740624,0.071534,0.10185,28122868.46,39184657.9,0.710227,417240044.1,31.632547,54.262515,67025566.14,802657646,3.406829,11.4,1116477.239,32448862.65,85569599.66,2698153.327,0,779829.5217,0.597866,0.711533,13.7,2.414261,26278.40829,1363636.322,3.772566,0,20.526316,45454.54407,330607944.5,17.862546,4.057313,414593737.3,-8522.727013,64.134591,5136363.48,1.772465,36.92518,0.646667,56965197.13,34.190395,2275568.112,92.590246,79927,2.278461,71.342776,1540482.908,3857954.428,388063908.6,6.550267,6.762959,4.084363,13.596449,445312.4864,35.902972,2.223331,2
5,852522701.3,802886339.1,49636362.12,499678962,514953109.3,118295450.9,1737926.083,156911216.8,72678975.05,14.627294,246196015.2,11.742977,0.587308,69.519231,44.076071,0.055744,1.360749,32437499.01,43857953.21,0.710227,377298994.2,36.73847,49.644464,41926135.08,793401254.2,3.355591,11.3,1321022.687,36926135.24,111296871.6,2215909.023,0,918323.8356,0.732134,1.00856,13.4,2.279838,23437.49929,1171874.964,3.481258,287642.0367,22.563291,244318.1744,31817470.62,15.112585,8.934351,375758511.3,51136.36208,57.757712,5733664.598,1.475802,39.366036,0.587308,9401278.122,38.526116,12109374.63,97.480045,76380,2.146524,72.969462,1680397.676,3149147.631,417642742.9,6.236603,6.643218,8.925888,15.072165,103724428.7,50.652711,2.039103,1
6,653134213,613606515.4,39527697.66,270200275.8,427997856.3,98263491.32,1288352.233,116485791.9,67151276.36,13.297414,244007094.8,7.369086,1.029465,86.081455,52.953688,0.092489,1.264936,26736504.87,35804686.41,0.710227,348950983.7,44.835281,59.942909,32441050.15,619492168.6,3.755598,11.2,1347301.095,29817470.68,92752838.08,3592329.436,-578835.2096,1123579.511,0.95784,1.638966,13.4,2.573074,62499.99809,1128551.102,4.165716,27698.86279,19.663419,299005.6727,97181104.99,14.796234,3.848172,345858654.2,92329.54264,52.069489,4065340.785,1.585037,36.593545,1.029465,10475851.95,40.902314,5332386.201,123.139831,0,2.042867,80.808502,1228693.144,3566761.255,273633514.4,6.500241,6.895727,3.847219,13.022184,85951701.92,43.812869,1.978611,3
7,496656945.1,467094446,29562499.1,183100846.7,321499990.2,59963776.58,758522.7041,64656248.03,42036220.31,10.478678,161696728,8.944337,0.602299,90.407785,50.95761,0.041488,0.497309,19009942.6,25490766.27,0.710227,254470162.7,40.560369,58.543762,37159800,451074560.1,3.67275,11.4,759943.1586,21485794.8,56235083.51,1532670.408,-39062.49881,489346.576,0.73064,0.923458,13.5,2.338357,43323.86231,891335.2001,3.533413,0,14.968153,229403.4021,108019172.8,15.667499,6.681855,253084509.3,25568.18104,55.126855,3172585.13,1.479301,38.395637,0.602299,6622869.116,37.991371,27671163.93,115.790868,46782,2.027962,78.719912,723721.5688,2177556.752,197990050.8,6.379949,6.703056,6.673534,13.15418,43174714.59,46.666667,1.943604,2
8,680965704.2,668429932,12535772.23,128758499.3,239478241.7,59971824.45,0,75605723.97,94162016.52,0,154133841,2.046437,0,0,25.841529,0,0,0,0,1.1385,175971953.2,51.472302,60.22058,0,324126615,0,0,0,0,52734078.4,0,805614.8529,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.970018,175971953.2,0,48.527698,0,0,23.745134,0,0,0,53152775.3,121.095874,0,0,73.481395,0,0,148154661.8,1.895935,2.903747,-2.970018,11.236744,0,0,0,1
9,340221580.5,324621439,15600141.57,86620025.77,229088771.4,53398435.87,697443.1605,28553266.17,10311079.23,18.0523,108441047.8,3.393631,0.487312,121.191605,62.897886,0.053379,-1.424994,12213778.04,16443891.54,0.710227,215263487.7,37.27006,68.169344,24245027.67,322290473.1,2.805418,12.1,611505.6632,14002840.48,50994316.63,1049005.65,-284090.9004,526988.6203,0.787284,1.231035,14.2,2.656192,23437.49929,627130.6627,3.257786,51846.58933,15.417743,17045.45403,84971588.32,13.461503,3.546623,213992181,5681.818008,59.817854,2340909.019,1.787888,25.459886,0.487312,0,34.062234,2311789.702,123.681837,43609,2.274209,93.410157,687499.979,1723011.311,108298292.1,4.841497,5.291922,3.567389,8.413513,48768464.42,40.809444,2.242567,2
